Cuisine,Meal Name,Ingredient,Ingredient,Quantity (g),Calories,Protein (g),Fat (g),Carb (g)
Indian,Lunch,Palak Paneer,Spices,5,15,0,1,3
Indian,Afternoon Snack,Masala Chai,Tea Leaves,5,2,0,0,0
Indian,Afternoon Snack,Masala Chai,Milk,100,60,3,3,5
Indian,Afternoon Snack,Masala Chai,Sugar,10,40,0,0,10
Indian,Afternoon Snack,Masala Chai,Cardamom,1,3,0,0,1
Indian,Afternoon Snack,Masala Chai,Ginger,2,2,0,0,0
Indian,Afternoon Snack,Papadum,Lentil Flour,20,90,4,1,14
Indian,Afternoon Snack,Papadum,Spices,2,5,0,0,1
Indian,Afternoon Snack,Papadum,Salt,1,0,0,0,0
Indian,Afternoon Snack,Papadum,Oil,5,45,0,5,0
Indian,Afternoon Snack,Fruit,Guava,50,35,1,0,9
Indian,Dinner,Biryani,Chicken,150,250,30,5,0
Indian,Dinner,Biryani,Rice,100,350,7,1,77
Indian,Dinner,Biryani,Onion,50,20,0,0,5
Indian,Dinner,Biryani,Tomato,50,9,0,0,2
Indian,Dinner,Biryani,Spices,5,15,0,1,3
Indian,Dinner,Biryani,Yogurt,50,31,3,2,2
Indian,Dinner,Paneer Tikka,Paneer,100,240,16,16,4
Indian,Dinner,Paneer Tikka,Red Bell Pepper,50,15,0,0,3
Indian,Dinner,Paneer Tikka,Onion,50,20,0,0,5
Indian,Dinner,Paneer Tikka,Yogurt Marinade,30,60,2,3,5
Indian,Dinner,Paneer Tikka,Spices,5,15,0,1,3
Indian,Dinner,Tandoori Chicken,Chicken,150,250,30,5,0
Indian,Dinner,Tandoori Chicken,Yogurt,50,31,3,2,2
Indian,Dinner,Tandoori Chicken,Garlic,5,8,0,0,2
Indian,Dinner,Tandoori Chicken,Ginger,5,4,0,0,1
Indian,Dinner,Tandoori Chicken,Spices,5,15,0,1,3
Indian,Dinner,Tandoori Chicken,Lemon Juice,10,3,0,0,1
Indian,Evening Snack,Roasted Chickpeas,Chickpeas,50,82,4,1,13
Indian,Evening Snack,Roasted Chickpeas,Olive Oil,5,45,0,5,0
Indian,Evening Snack,Roasted Chickpeas,Spices,2,5,0,0,1
Indian,Evening Snack,Fruit,Apple,50,26,0,0,7
Indian,Evening Snack,Fruit,Mango,50,60,0,0,15
Indian,Evening Snack,Fruit,Banana,50,45,1,0,12
Indian,Evening Snack,Fruit Papaya,,50,20,0,0,5
Indian,Evening Snack,Nuts,Mixed Nuts,20,120,4,10,2
Japanese,Breakfast,Miso Soup,Miso Paste,30,70,5,2,8
Japanese,Breakfast,Miso Soup,Tofu,50,40,4,2,1
Japanese,Breakfast,Miso Soup,Seaweed,5,2,0,0,1
Japanese,Breakfast,Miso Soup,Green Onion,10,3,0,0,1
Japanese,Breakfast,Steamed Rice,Rice,150,200,4,0,44
Japanese,Breakfast,Tamagoyaki,Eggs,100,140,12,10,1
Japanese,Breakfast,Tamagoyaki,Sugar,5,20,0,0,5
Japanese,Breakfast,Tamagoyaki,Soy Sauce,5,5,0,0,1
Japanese,Breakfast,Natto Rice,Natto,50,100,8,5,5
Japanese,Breakfast,Natto Rice,Rice,100,130,3,0,28
Japanese,Morning Snack,Rice Crackers,Rice Flour,50,180,3,1,40
Japanese,Morning Snack,Rice Crackers,Soy Sauce,5,5,0,0,1
Japanese,Morning Snack,Green Tea,Tea Leaves,2,1,0,0,0
Japanese,Morning Snack,Green Tea,Water,150,0,0,0,0
Japanese,Morning Snack,Edamame,Edamame,100,120,11,5,9
Japanese,Morning Snack,Edamame,Salt,1,0,0,0,0
Japanese,Lunch,Sushi,Rice,100,130,3,0,28
Japanese,Lunch,Sushi,Salmon,50,100,10,6,0
Japanese,Lunch,Sushi,Avocado,30,50,1,5,3
Japanese,Lunch,Sushi,Nori,5,5,1,0,1
Japanese,Lunch,Ramen,Noodles,100,350,10,3,65
Japanese,Lunch,Ramen,Chicken Broth,150,30,5,0,2
Japanese,Lunch,Ramen,Pork,50,120,10,8,0
Japanese,Lunch,Ramen,Scallions,10,3,0,0,1
Japanese,Lunch,Ramen,Egg,50,70,6,5,1
Japanese,Lunch,Tempura,Shrimp,50,60,10,1,1
Japanese,Lunch,Tempura,Flour,30,110,3,0,23
Japanese,Lunch,Tempura,Egg,10,15,1,1,0
Japanese,Lunch,Tempura,Oil,10,90,0,10,0
Japanese,Afternoon Snack,Onigiri,Rice,80,105,2,0,23
Japanese,Afternoon Snack,Onigiri,Nori,5,5,1,0,1
Japanese,Afternoon Snack,Onigiri,Umeboshi,5,10,0,0,2
Japanese,Afternoon Snack,Fruit,Melon,50,20,0,0,5
Japanese,Afternoon Snack,Fruit,Apple,50,26,0,0,7
Japanese,Afternoon Snack,Fruit,Pear,50,25,0,0,6
Japanese,Afternoon Snack,Sweet Potato,Yaki Imo,100,90,1,0,21
Japanese,Dinner,Sashimi,Salmon,100,200,20,13,0
Japanese,Dinner,Sashimi,Tuna,100,130,28,1,0
Japanese,Dinner,Chicken Teriyaki,Chicken,150,250,30,5,0
Japanese,Dinner,Chicken Teriyaki,Teriyaki Sauce,30,60,1,0,12
Japanese,Dinner,Chicken Teriyaki,Vegetables (Carrot/Broccoli),100,50,3,0,10
Japanese,Dinner,Tempura Vegetables,Sweet Potato,50,45,0,0,11
Japanese,Dinner,Tempura Vegetables,Zucchini,50,20,1,0,4
Japanese,Dinner,Tempura Vegetables,Oil,10,90,0,10,0
Japanese,Dinner,Miso Glazed Eggplant,Eggplant,100,35,1,0,8
Japanese,Dinner,Miso Glazed Eggplant,Miso Paste,20,45,4,1,6
Japanese,Dinner,Miso Glazed Eggplant,Sesame Oil,5,45,0,5,0
Japanese,Evening Snack,Senbei,Rice Flour,50,180,3,1,40
Japanese,Evening Snack,Senbei,Soy Sauce,5,5,0,0,1
Japanese,Evening Snack,Green Tea,Tea Leaves,2,1,0,0,0
Japanese,Evening Snack,Green Tea,Water,150,0,0,0,0
Japanese,Evening Snack,Nuts,Mixed Nuts,20,120,4,10,2
Japanese,Evening Snack,Fruit,Kiwi,50,25,0,0,6
Japanese,Evening Snack,Fruit,Orange,50,23,0,0,6
Japanese,Evening Snack,Fruit,Persimmon,50,35,1,0,9
Chinese,Breakfast,Congee,Rice,100,130,3,0,28
Chinese,Breakfast,Congee,Chicken,50,80,10,2,0
Chinese,Breakfast,Congee,Ginger,5,5,0,0,1
Chinese,Breakfast,Congee,Green Onion,5,2,0,0,1
Chinese,Breakfast,Steamed Bun,Flour,80,220,6,1,45
Chinese,Breakfast,Steamed Bun,Pork,30,70,6,4,0
Chinese,Breakfast,Steamed Bun,Sugar,5,20,0,0,5
Chinese,Breakfast,Tea,Tea Leaves,2,1,0,0,0
Chinese,Breakfast,Tea,Water,150,0,0,0,0
Chinese,Breakfast,You Tiao,Flour,50,180,5,1,38
Chinese,Morning Snack,Fruit,Apple,50,26,0,0,7
Chinese,Morning Snack,Fruit,Pear,50,25,0,0,6
Chinese,Morning Snack,Nuts,Mixed Nuts,20,120,4,10,2
Chinese,Morning Snack,Green Tea,Tea Leaves,2,1,0,0,0
Chinese,Morning Snack,Green Tea,Water,150,0,0,0,0
Chinese,Morning Snack,Steamed Corn,Corn,100,90,3,1,19
Chinese,Lunch,Fried Rice,Rice,150,200,4,0,44
Chinese,Lunch,Fried Rice,Egg,50,70,6,5,1
Chinese,Lunch,Fried Rice,Chicken,50,80,10,2,0
Chinese,Lunch,Fried Rice,Carrot,30,12,0,0,3
Chinese,Lunch,Fried Rice,Green Peas,30,25,2,0,5
Chinese,Lunch,Mapo Tofu,Tofu,100,80,8,4,2
Chinese,Lunch,Mapo Tofu,Ground Pork,50,120,10,8,0
Chinese,Lunch,Mapo Tofu,Chili Bean Paste,10,30,1,0,6
Chinese,Lunch,Mapo Tofu,Green Onion,10,3,0,0,1
Chinese,Lunch,Mapo Tofu,Ginger,5,5,0,0,1
Chinese,Lunch,Hot and Sour Soup,Tofu,50,40,4,2,1
Chinese,Lunch,Hot and Sour Soup,Pork,50,80,10,6,0
Chinese,Lunch,Hot and Sour Soup,Mushroom,20,5,1,0,1
Chinese,Lunch,Hot and Sour Soup,Vinegar,5,2,0,0,1
Chinese,Lunch,Hot and Sour Soup,Carrot,20,8,0,0,2
Chinese,Afternoon Snack,Steamed Bun,Flour,50,140,4,0,30
Chinese,Afternoon Snack,Steamed Bun,Red Bean Paste,20,50,1,0,12
Chinese,Afternoon Snack,Fruit,Melon,50,20,0,0,5
Chinese,Afternoon Snack,Fruit,Orange,50,23,0,0,6
Chinese,Afternoon Snack,Nuts,Almonds,20,120,4,10,2
Chinese,Afternoon Snack,Green Tea,Tea Leaves,2,1,0,0,0
Chinese,Afternoon Snack,Green Tea,Water,150,0,0,0,0
Chinese,Dinner,Sweet and Sour Pork,Pork,150,250,25,15,0
Chinese,Dinner,Sweet and Sour Pork,Pineapple,50,25,0,0,6
Chinese,Dinner,Sweet and Sour Pork,Carrot,30,12,0,0,3
Chinese,Dinner,Sweet and Sour Pork,Bell Pepper,30,10,0,0,2
Chinese,Dinner,Sweet and Sour Pork,Sauce,20,30,1,0,7
Chinese,Dinner,Kung Pao Chicken,Chicken,150,250,30,5,0
Chinese,Dinner,Kung Pao Chicken,Peanuts,20,120,5,10,4
Chinese,Dinner,Kung Pao Chicken,Chili,5,5,0,0,1
Chinese,Dinner,Kung Pao Chicken,Vegetables (Carrot/Bell Pepper),50,20,1,0,5
Chinese,Dinner,Kung Pao Chicken,Sauce,15,30,0,0,7
Chinese,Dinner,Ma Po Eggplant,Eggplant,100,35,1,0,8
Chinese,Dinner,Ma Po Eggplant,Ground Pork,50,120,10,8,0
Chinese,Dinner,Ma Po Eggplant,Soy Sauce,10,5,0,0,1
Chinese,Dinner,Ma Po Eggplant,Chili Paste,5,5,0,0,1
Chinese,Evening Snack,Rice Crackers,Rice Flour,50,180,3,1,40
Chinese,Evening Snack,Rice Crackers,Soy Sauce,5,5,0,0,1
Chinese,Evening Snack,Green Tea,Tea Leaves,2,1,0,0,0
Chinese,Evening Snack,Green Tea,Water,150,0,0,0,0
Chinese,Evening Snack,Fruit,Kiwi,50,25,0,0,6
Chinese,Evening Snack,Fruit,Mango,50,40,0,0,10
Chinese,Evening Snack,Nuts,Mixed Nuts,20,120,4,10,2
Chinese,Evening Snack,Dumplings,Pork,50,120,10,8,0
Chinese,Evening Snack,Dumplings,Cabbage,30,5,1,0,1
Chinese,Evening Snack,Dumplings,Flour,20,70,2,0,15
Chinese,Evening Snack,Dumplings,Ginger,5,5,0,0,1
Chinese,Evening Snack,Dumplings,Soy Sauce,5,5,0,0,1
Indian,Breakfast,Idli,Rice,100,130,3,0,28
Indian,Breakfast,Idli,Urad Dal,30,90,8,0,18
Indian,Breakfast,Idli,Water,50,0,0,0,0
Indian,Breakfast,Idli,Salt,2,0,0,0,0
Indian,Breakfast,Dhokla,Gram Flour,80,300,12,5,40
Indian,Breakfast,Dhokla,Yogurt,30,20,2,1,2
Indian,Breakfast,Dhokla,Water,50,0,0,0,0
Indian,Breakfast,Dhokla,Eno,2,5,0,0,1
Indian,Breakfast,Paratha,Wheat Flour,80,220,6,1,45
Indian,Breakfast,Paratha,Ghee,10,90,0,10,0
Indian,Breakfast,Paratha,Salt,2,0,0,0,0
Indian,Morning Snack,Samosa,Potato,50,70,2,0,15
Indian,Morning Snack,Samosa,Peas,20,15,1,0,3
Indian,Morning Snack,Samosa,Flour,30,110,3,1,22
Indian,Morning Snack,Samosa,Oil,10,90,0,10,0
Indian,Morning Snack,Fruit,Mango,50,40,0,0,10
Indian,Morning Snack,Fruit,Papaya,50,25,0,0,6
Indian,Morning Snack,Nuts,Almonds,20,120,4,10,2
Indian,Morning Snack,Tea,Tea Leaves,2,1,0,0,0
Indian,Morning Snack,Tea,Water,150,0,0,0,0
Indian,Lunch,Butter Chicken,Chicken,150,250,30,5,0
Indian,Lunch,Butter Chicken,Butter,20,150,0,17,0
Indian,Lunch,Butter Chicken,Tomato Puree,30,10,0,0,2
Indian,Lunch,Butter Chicken,Cream,20,80,1,8,1
Indian,Lunch,Butter Chicken,Spices,5,5,0,0,1
Indian,Lunch,Paneer Butter Masala,Paneer,100,265,18,20,6
Indian,Lunch,Paneer Butter Masala,Butter,15,110,0,12,0
Indian,Lunch,Paneer Butter Masala,Tomato Puree,30,10,0,0,2
Indian,Lunch,Paneer Butter Masala,Cream,10,40,0,4,1
Indian,Lunch,Paneer Butter Masala,Spices,5,5,0,0,1
Indian,Lunch,Chole,Chickpeas,100,160,9,2,27
Indian,Lunch,Chole,Onion,30,12,0,0,3
Indian,Lunch,Chole,Tomato,30,5,0,0,1
Indian,Lunch,Chole,Oil,10,90,0,10,0
Indian,Lunch,Chole,Spices,5,5,0,0,1
Indian,Lunch,Biryani,Rice,150,200,4,0,44
Indian,Lunch,Biryani,Chicken,50,80,10,2,0
Indian,Lunch,Biryani,Onion,30,12,0,0,3
Indian,Lunch,Biryani,Spices,5,5,0,0,1
Indian,Lunch,Biryani,Ghee,10,90,0,10,0
Indian,Afternoon Snack,Pakora,Gram Flour,50,180,8,5,25
Indian,Afternoon Snack,Pakora,Vegetables,50,30,1,0,6
Indian,Afternoon Snack,Pakora,Oil,10,90,0,10,0
Indian,Afternoon Snack,Fruit,Banana,50,45,1,0,12
Indian,Afternoon Snack,Fruit,Apple,50,26,0,0,7
Indian,Afternoon Snack,Nuts,Cashews,20,120,4,10,2
Indian,Afternoon Snack,Tea,Tea Leaves,2,1,0,0,0
Indian,Afternoon Snack,Tea,Water,150,0,0,0,0
Indian,Dinner,Mutton Curry,Mutton,150,300,30,20,0
Indian,Dinner,Mutton Curry,Onion,30,12,0,0,3
Indian,Dinner,Mutton Curry,Tomato,30,5,0,0,1
Indian,Dinner,Mutton Curry,Oil,15,135,0,15,0
Indian,Dinner,Mutton Curry,Spices,5,5,0,0,1
Indian,Dinner,Aloo Gobi,Potato,100,80,2,0,18
Indian,Dinner,Aloo Gobi,Cauliflower,100,25,2,0,5
Indian,Dinner,Aloo Gobi,Oil,10,90,0,10,0
Indian,Dinner,Aloo Gobi,Spices,5,5,0,0,1
Indian,Dinner,Aloo Gobi,Tomato,20,4,0,0,1
Indian,Dinner,Tandoori Chicken,Chicken,150,250,30,5,0
Indian,Dinner,Tandoori Chicken,Spices,10,5,0,0,1
Indian,Dinner,Tandoori Chicken,Yogurt,30,20,2,1,2
Indian,Dinner,Tandoori Chicken,Lemon Juice,10,2,0,0,1
Indian,Dinner,Tandoori Chicken,Oil,5,45,0,5,0
Indian,Evening Snack,Samosa,Potato,50,70,2,0,15
Indian,Evening Snack,Samosa,Peas,20,15,1,0,3
Indian,Evening Snack,Samosa,Flour,30,110,3,1,22
Indian,Evening Snack,Samosa,Oil,10,90,0,10,0
Indian,Evening Snack,Fruit,Mango,50,40,0,0,10
Indian,Evening Snack,Fruit,Papaya,50,25,0,0,6
Indian,Evening Snack,Nuts,Almonds,20,120,4,10,2
Indian,Evening Snack,Tea,Tea Leaves,2,1,0,0,0
Indian,Evening Snack,Tea,Water,150,0,0,0,0
Indian,Evening Snack,Dhokla,Gram Flour,80,300,12,5,40
Indian,Evening Snack,Dhokla,Yogurt,30,20,2,1,2
Indian,Evening Snack,Dhokla,Water,50,0,0,0,0
Indian,Evening Snack,Dhokla,Eno,2,5,0,0,1
